timestamp,elapsed_time_s,abs_fz_N
2025-09-08 23:52:15.627,1.384,0.166420
2025-09-08 23:52:15.634,1.391,0.162662
2025-09-08 23:52:15.641,1.398,0.165887
2025-09-08 23:52:15.648,1.405,0.188815
2025-09-08 23:52:15.655,1.412,0.188337
2025-09-08 23:52:15.662,1.419,0.199497
2025-09-08 23:52:15.669,1.426,0.199736
2025-09-08 23:52:15.676,1.433,0.214984
2025-09-08 23:52:15.683,1.440,0.244081
2025-09-08 23:52:15.690,1.447,0.255295
2025-09-08 23:52:15.697,1.454,0.265655
2025-09-08 23:52:15.704,1.461,0.277420
2025-09-08 23:52:15.711,1.468,0.285155
2025-09-08 23:52:15.718,1.475,0.313969
2025-09-08 23:52:15.725,1.482,0.332814
2025-09-08 23:52:15.732,1.489,0.347363
2025-09-08 23:52:15.739,1.496,0.358134
2025-09-08 23:52:15.746,1.503,0.372875
2025-09-08 23:52:15.753,1.510,0.413541
2025-09-08 23:52:15.760,1.517,0.413301
2025-09-08 23:52:15.767,1.524,0.446319
2025-09-08 23:52:15.774,1.531,0.460605
2025-09-08 23:52:15.781,1.538,0.475121
2025-09-08 23:52:15.788,1.545,0.505380
2025-09-08 23:52:15.795,1.552,0.534701
2025-09-08 23:52:15.802,1.559,0.546013
2025-09-08 23:52:15.809,1.566,0.567812
2025-09-08 23:52:15.816,1.573,0.593368
2025-09-08 23:52:15.823,1.580,0.604927
2025-09-08 23:52:15.830,1.586,0.612696
2025-09-08 23:52:15.837,1.593,0.641191
2025-09-08 23:52:15.844,1.600,0.645278
2025-09-08 23:52:15.851,1.607,0.656532
2025-09-08 23:52:15.858,1.614,0.674581
2025-09-08 23:52:15.865,1.621,0.685845
2025-09-08 23:52:15.872,1.628,0.714660
2025-09-08 23:52:15.879,1.635,0.722387
2025-09-08 23:52:15.886,1.642,0.729685
2025-09-08 23:52:15.893,1.649,0.747320
2025-09-08 23:52:15.900,1.656,0.755230
2025-09-08 23:52:15.907,1.663,0.766796
2025-09-08 23:52:15.914,1.670,0.781573
2025-09-08 23:52:15.921,1.677,0.788146
2025-09-08 23:52:15.927,1.684,0.806412
2025-09-08 23:52:15.934,1.691,0.817703
2025-09-08 23:52:15.941,1.698,0.828779
2025-09-08 23:52:15.948,1.705,0.832772
2025-09-08 23:52:15.955,1.712,0.844028
2025-09-08 23:52:15.962,1.719,0.873036
2025-09-08 23:52:15.969,1.726,0.884345
2025-09-08 23:52:15.976,1.733,0.902857
2025-09-08 23:52:15.983,1.740,0.916753
2025-09-08 23:52:15.990,1.747,0.913217
2025-09-08 23:52:15.997,1.754,0.938935
2025-09-08 23:52:16.004,1.761,0.954314
2025-09-08 23:52:16.011,1.768,0.972452
2025-09-08 23:52:16.018,1.775,0.983569
2025-09-08 23:52:16.025,1.782,0.994588
2025-09-08 23:52:16.032,1.789,1.016441
2025-09-08 23:52:16.039,1.796,1.038255
2025-09-08 23:52:16.046,1.803,1.060678
2025-09-08 23:52:16.053,1.810,1.067977
2025-09-08 23:52:16.060,1.817,1.089551
2025-09-08 23:52:16.067,1.824,1.115256
2025-09-08 23:52:16.074,1.831,1.130453
2025-09-08 23:52:16.081,1.838,1.167231
2025-09-08 23:52:16.088,1.845,1.181800
2025-09-08 23:52:16.095,1.852,1.196877
2025-09-08 23:52:16.102,1.859,1.229448
