diameter,tilt,steps,measured_angle
4,0,58.1875,42.97
4,0,58.1875,42.46
4,0,58.1875,42.33
4,0,116.375,88.86
4,0,116.375,88.86
4,0,116.375,87.26
4,0,116.375,87.21
4,0,116.375,86.24
4,0,174.5,133.25
4,0,174.5,133.14
4,0,174.5,132.96
4,0,174.5,132.79
4,0,174.5,130.99
4,0,12.75,9.65
4,0,12.75,8.94
4,0,12.75,8.91
4,0,12.75,8.61
4,0,12.75,8.13
4,0,57.4375,43.56
4,0,57.4375,42.54
4,0,57.4375,42.47
4,0,57.4375,42.13
4,0,57.4375,42.08
4,0,114.875,88.95
4,0,114.875,87.22
4,0,114.875,87.18
4,0,114.875,86.84
4,0,114.875,86.77
4,0,114.875,86.4
4,0,172.375,131.44
4,0,172.375,131.06
4,0,172.375,130.62
4,0,172.375,130.11
4,0,172.375,130.02
4,10,12.9375,9.76
4,10,12.9375,8.8
4,10,12.9375,8.71
4,10,12.9375,8.68
4,10,58.1875,43.82
4,10,58.1875,43.71
4,10,58.1875,43.7
4,10,58.1875,41.69
4,10,58.1875,41.56
4,10,116.375,88.42
4,10,116.375,86.55
4,10,116.375,86.32
4,10,116.375,85.67
4,10,116.375,85.64
4,10,174.5,131.53
4,10,174.5,130.24
4,10,174.5,129.92
4,10,174.5,129.9
4,10,174.5,129.25
4,10,12.75,9.62
4,10,12.75,9.14
4,10,12.75,8.78
4,10,12.75,8.72
4,10,12.75,8.34
4,10,12.75,8.32
4,10,57.4375,43.3
4,10,57.4375,43
4,10,57.4375,42.86
4,10,57.4375,41.93
4,10,57.4375,41.77
4,10,114.875,87.62
4,10,114.875,86.42
4,10,114.875,86.13
4,10,114.875,85.66
4,10,114.875,85.17
4,10,172.375,129.87
4,10,172.375,129.46
4,10,172.375,128.78
4,10,172.375,128.53
4,10,172.375,127.42
4,20,12.9375,9.55
4,20,12.9375,8.75
4,20,12.9375,8.68
4,20,12.9375,8.67
4,20,12.9375,8.59
4,20,58.1875,44.95
4,20,58.1875,42.44
4,20,58.1875,42.4
4,20,58.1875,42.04
4,20,58.1875,40.68
4,20,58.1875,40.12
4,20,116.375,88.06
4,20,116.375,87.01
4,20,116.375,86.18
4,20,116.375,83.91
4,20,116.375,82.85
4,20,174.5,131.56
4,20,174.5,131.29
4,20,174.5,129.02
4,20,174.5,127.68
4,20,174.5,125.31
4,20,12.75,9.46
4,20,12.75,8.98
4,20,12.75,8.65
4,20,12.75,8.64
4,20,12.75,8.62
4,20,57.4375,44.14
4,20,57.4375,43.2
4,20,57.4375,42.07
4,20,57.4375,39.62
4,20,114.875,86.91
4,20,114.875,86.03
4,20,114.875,85.25
4,20,114.875,84.28
4,20,114.875,83.08
4,20,172.375,131.59
4,20,172.375,131.29
4,20,172.375,127.79
4,20,172.375,126.22
4,20,172.375,125.69
4,30,12.9375,11.68
4,30,12.9375,8.4
4,30,58.1875,46.59
4,30,58.1875,42.02
4,30,58.1875,40.37
4,30,116.375,96.82
4,30,116.375,83.8
4,30,174.5,122.89
4,30,174.5,122.67
4,30,12.75,10.35
4,30,12.75,8.91
4,30,12.75,8.73
4,30,12.75,8.7
4,30,12.75,8.4
4,30,12.75,8.34
4,30,12.75,7.92
4,30,57.4375,41.77
4,30,57.4375,41.12
4,30,57.4375,40.22
4,30,57.4375,39.79
4,30,57.4375,39.14
4,30,57.4375,39.14
4,30,114.875,82.78
4,30,114.875,81.4
4,30,114.875,80.44
4,30,172.375,123.05
4,30,172.375,121.32
4,30,172.375,120.94
5,0,16.375,10.22
5,0,16.375,9.74
5,0,16.375,9.45
5,0,16.375,9.02
5,0,16.375,8.84
5,0,73.75,44.46
5,0,73.75,43.53
5,0,73.75,43.31
5,0,73.75,43.24
5,0,73.75,42.93
5,0,147.5,89.11
5,0,147.5,89.04
5,0,147.5,88.55
5,0,147.5,87.56
5,0,147.5,87.54
5,0,221.25,131.87
5,0,221.25,131.81
5,0,221.25,131.54
5,0,221.25,131.19
5,0,221.25,131.13
5,0,16.4375,10.1
5,0,16.4375,10.03
5,0,16.4375,9.84
5,0,16.4375,8.79
5,0,16.4375,8.79
5,0,73.9375,44.8
5,0,73.9375,43.91
5,0,73.9375,43.73
5,0,73.9375,43.04
5,0,73.9375,42.75
5,0,147.875,89.69
5,0,147.875,88.92
5,0,147.875,88.08
5,0,147.875,87.32
5,0,147.875,87.09
5,0,221.875,134.45
5,0,221.875,133.58
5,0,221.875,133.51
5,0,221.875,132.28
5,0,221.875,132.26
5,10,16.375,10.1
5,10,16.375,10.05
5,10,16.375,9.37
5,10,16.375,8.8
5,10,16.375,8.75
5,10,73.75,44.2
5,10,73.75,44.13
5,10,73.75,42.82
5,10,73.75,42.56
5,10,73.75,42.17
5,10,147.5,90.21
5,10,147.5,88.36
5,10,147.5,88.3
5,10,147.5,87.69
5,10,147.5,86.54
5,10,221.25,134
5,10,221.25,131.7
5,10,221.25,131.57
5,10,221.25,129.62
5,10,221.25,129.55
5,10,16.4375,10.09
5,10,16.4375,10
5,10,16.4375,9.95
5,10,16.4375,9.06
5,10,16.4375,8.89
5,10,73.9375,44.06
5,10,73.9375,43.74
5,10,73.9375,43.48
5,10,73.9375,43.11
5,10,73.9375,42.89
5,10,147.875,88.7
5,10,147.875,88.35
5,10,147.875,87.96
5,10,147.875,87.89
5,10,147.875,86.72
5,10,221.875,132.99
5,10,221.875,132.64
5,10,221.875,132.18
5,10,221.875,132.03
5,10,221.875,130.63
5,20,16.375,9.82
5,20,16.375,9.64
5,20,16.375,9.39
5,20,16.375,9.05
5,20,16.375,8.8
5,20,16.375,8.64
5,20,73.75,45.12
5,20,73.75,44.07
5,20,73.75,42.34
5,20,73.75,41.54
5,20,73.75,41.11
5,20,147.5,88.29
5,20,147.5,87.76
5,20,147.5,87.21
5,20,147.5,86.74
5,20,147.5,86.73
5,20,221.25,134.18
5,20,221.25,133.97
5,20,221.25,130.57
5,20,221.25,128.16
5,20,221.25,126.54
5,20,16.4375,9.84
5,20,16.4375,9.22
5,20,16.4375,8.9
5,20,16.4375,8.68
5,20,73.9375,44.8
5,20,73.9375,43.1
5,20,73.9375,42.47
5,20,73.9375,42.43
5,20,73.9375,42.15
5,20,147.875,88.57
5,20,147.875,88.49
5,20,147.875,86.13
5,20,147.875,86.04
5,20,147.875,85.9
5,20,221.875,134.96
5,20,221.875,133.44
5,20,221.875,133.07
5,20,221.875,131.04
5,20,221.875,128.54
5,30,16.375,11.6
5,30,16.375,8.96
5,30,73.75,48.05
5,30,73.75,40.53
5,30,147.5,95.62
5,30,147.5,84.05
5,30,16.4375,9.88
5,30,16.4375,9.65
5,30,16.4375,9.62
5,30,16.4375,9.54
5,30,16.4375,9.51
5,30,16.4375,9.39
5,30,16.4375,8.49
5,30,16.4375,8.39
5,30,16.4375,8.34
5,30,16.4375,8.31
5,30,73.9375,42.37
5,30,73.9375,41.68
5,30,73.9375,41.07
5,30,73.9375,40.73
5,30,73.9375,40.69
5,30,73.9375,40.62
