diameter,direction,tilt,cos_tilt,steps,stepper_travel,measured_angle,avg_offset,ideal_rnp_angle,k_rod,k_rod_avg,c_rod,predicted_angle,error
2,cw,10,0.984807753,29.3125,0.7445375,40.23,-1.216,84.02154511,0.478805763,0.534,-0.431,44.43650509,4.20650509
2,cw,10,0.984807753,58.6875,1.4906625,90.64,-1.216,168.2222406,0.538811037,0.534,-0.431,89.3996765,-1.240323498
2,cw,10,0.984807753,58.6875,1.4906625,90.26,-1.216,168.2222406,0.536552121,0.534,-0.431,89.3996765,-0.860323498
2,cw,10,0.984807753,58.6875,1.4906625,89.31,-1.216,168.2222406,0.53090483,0.534,-0.431,89.3996765,0.089676502
2,cw,10,0.984807753,58.6875,1.4906625,89.11,-1.216,168.2222406,0.529715926,0.534,-0.431,89.3996765,0.289676502
2,cw,10,0.984807753,58.6875,1.4906625,87.68,-1.216,168.2222406,0.521215267,0.534,-0.431,89.3996765,1.719676502
2,cw,10,0.984807753,58.6875,1.4906625,84.06,-1.216,168.2222406,0.499696114,0.534,-0.431,89.3996765,5.339676502
2,cw,10,0.984807753,88,2.2352,134.12,-1.216,252.2437858,0.531707846,0.534,-0.431,134.2671816,0.147181592
2,cw,10,0.984807753,88,2.2352,134.09,-1.216,252.2437858,0.531588913,0.534,-0.431,134.2671816,0.177181592
2,cw,10,0.984807753,88,2.2352,133.1,-1.216,252.2437858,0.527664139,0.534,-0.431,134.2671816,1.167181592
2,cw,10,0.984807753,88,2.2352,132.32,-1.216,252.2437858,0.524571892,0.534,-0.431,134.2671816,1.947181592
2,cw,10,0.984807753,88,2.2352,132.15,-1.216,252.2437858,0.523897941,0.534,-0.431,134.2671816,2.117181592
2,ccw,20,0.939692621,6.5625,0.1666875,12.69,-1.216,17.94905042,0.70700119,0.534,-0.431,9.153792925,-3.536207075
2,ccw,20,0.939692621,6.5625,0.1666875,6.76,-1.216,17.94905042,0.376621595,0.534,-0.431,9.153792925,2.393792925
2,ccw,20,0.939692621,29.375,0.746125,42.42,-1.216,80.34336855,0.527983837,0.534,-0.431,42.47235881,0.052358807
2,ccw,20,0.939692621,29.375,0.746125,41.28,-1.216,80.34336855,0.513794738,0.534,-0.431,42.47235881,1.192358807
2,ccw,20,0.939692621,58.8125,1.4938375,94.34,-1.216,160.8576804,0.586481166,0.534,-0.431,85.46700136,-8.872998645
2,ccw,20,0.939692621,58.8125,1.4938375,86.56,-1.216,160.8576804,0.538115431,0.534,-0.431,85.46700136,-1.092998645
2,ccw,20,0.939692621,58.8125,1.4938375,86.39,-1.216,160.8576804,0.537058596,0.534,-0.431,85.46700136,-0.922998645
2,ccw,20,0.939692621,58.8125,1.4938375,84.59,-1.216,160.8576804,0.52586858,0.534,-0.431,85.46700136,0.877001355
2,ccw,20,0.939692621,58.8125,1.4938375,84.43,-1.216,160.8576804,0.524873912,0.534,-0.431,85.46700136,1.037001355
2,ccw,20,0.939692621,88.1875,2.2399625,131.64,-1.216,241.201049,0.545768771,0.534,-0.431,128.3703602,-3.269639838
2,ccw,20,0.939692621,88.1875,2.2399625,131.06,-1.216,241.201049,0.543364138,0.534,-0.431,128.3703602,-2.689639838
2,ccw,20,0.939692621,88.1875,2.2399625,130.57,-1.216,241.201049,0.541332637,0.534,-0.431,128.3703602,-2.199639838
2,ccw,20,0.939692621,88.1875,2.2399625,130.5,-1.216,241.201049,0.541042423,0.534,-0.431,128.3703602,-2.129639838
2,ccw,20,0.939692621,88.1875,2.2399625,127.41,-1.216,241.201049,0.528231534,0.534,-0.431,128.3703602,0.960360162
2,cw,20,0.939692621,6.5,0.1651,8.34,-1.216,17.77810708,0.46911631,0.534,-0.431,9.062509183,0.722509183
2,cw,20,0.939692621,6.5,0.1651,8.28,-1.216,17.77810708,0.465741373,0.534,-0.431,9.062509183,0.782509183
2,cw,20,0.939692621,6.5,0.1651,8.21,-1.216,17.77810708,0.461803946,0.534,-0.431,9.062509183,0.852509183
