diameter,grip_strength,direction,steps,initial_angle,target_angle,measured_angle,error,tilt
3,0.8717,ccw,134.25,0.0,135,126.82,-8.18,30.0
2,0.7903,cw,6.5,10.0,10,8.28,-1.72,20.0
2,0.7739,cw,6.5,20.0,10,8.1,-1.9,20.0
2,0.7644,cw,6.5,30.0,10,8.21,-1.79,20.0
2,0.7739,cw,6.5,40.0,10,8.34,-1.66,20.0
2,0.8348,ccw,6.5625,0.0,10,6.76,-3.24,20.0
2,0.8012,ccw,6.5625,-20.0,10,12.69,2.69,20.0
2,0.813,cw,6.5,-10.0,10,7.12,-2.88,20.0
2,0.8194,cw,6.5,0.0,10,7.55,-2.45,20.0
2,0.7503,cw,29.3125,45.0,45,42.06,-2.94,20.0
2,0.8141,cw,29.3125,45.0,45,42.25,-2.75,20.0
2,0.7616,cw,29.3125,90.0,45,40.48,-4.52,20.0
2,0.7026,cw,29.3125,135.0,45,40.63,-4.37,20.0
2,0.7537,ccw,29.375,0.0,45,42.42,-2.58,20.0
2,0.6994,cw,29.3125,-90.0,45,40.83,-4.17,20.0
2,0.7237,cw,29.3125,-90.0,45,40.09,-4.91,20.0
2,0.7237,ccw,29.375,0.0,45,41.28,-3.72,20.0
2,0.7167,cw,29.3125,-45.0,45,42.51,-2.49,20.0
2,0.7431,ccw,58.8125,0.0,90,84.43,-5.57,20.0
2,0.718,cw,58.6875,-90.0,90,87.67,-2.33,20.0
2,0.71,cw,58.6875,0.0,90,83.99,-6.01,20.0
2,0.7268,cw,58.6875,90.0,90,88.68,-1.32,20.0
2,0.743,ccw,58.8125,180.0,90,94.34,4.34,20.0
2,0.6908,cw,58.6875,0.0,90,84.0,-6.0,20.0
2,0.7726,ccw,58.8125,0.0,90,86.39,-3.61,20.0
2,0.699,cw,58.6875,-90.0,90,88.64,-1.36,20.0
2,0.7833,cw,58.6875,0.0,90,84.33,-5.67,20.0
2,0.7297,cw,58.6875,0.0,90,87.23,-2.77,20.0
2,0.7848,ccw,58.8125,0.0,90,86.56,-3.44,20.0
2,0.7477,cw,58.6875,-90.0,90,85.97,-4.03,20.0
2,0.819,cw,58.6875,0.0,90,84.64,-5.36,20.0
2,0.752,ccw,58.8125,90.0,90,84.59,-5.41,20.0
2,0.7568,cw,88.0,0.0,135,125.66,-9.34,20.0
2,0.7143,ccw,88.1875,135.0,135,131.06,-3.94,20.0
2,0.6991,ccw,88.1875,0.0,135,127.41,-7.59,20.0
2,0.7337,cw,88.0,-135.0,135,129.78,-5.22,20.0
2,0.7593,cw,88.0,0.0,135,131.1,-3.9,20.0
2,0.738,ccw,88.1875,135.0,135,130.57,-4.43,20.0
2,0.7629,ccw,88.1875,0.0,135,130.5,-4.5,20.0
2,0.7283,cw,88.0,-135.0,135,131.15,-3.85,20.0
2,0.7702,cw,88.0,0.0,135,131.11,-3.89,20.0
2,0.749,ccw,88.1875,135.0,135,131.64,-3.36,20.0
3,0.7633,cw,133.4375,0.0,135,130.65,-4.35,20.0
3,0.7597,ccw,134.25,135.0,135,134.86,-0.14,20.0
3,0.7686,ccw,134.25,0.0,135,130.53,-4.47,20.0
3,0.8728,cw,133.4375,-135.0,135,133.17,-1.83,20.0
3,0.8353,ccw,134.25,135.0,135,135.85,0.85,20.0
3,0.8603,ccw,134.25,0.0,135,130.89,-4.11,20.0
3,0.8075,cw,88.9375,0.0,90,86.65,-3.35,20.0
3,0.7969,cw,88.9375,90.0,90,87.31,-2.69,20.0
3,0.8353,ccw,89.5,180.0,90,90.23,0.23,20.0
3,0.8271,ccw,89.5,90.0,90,88.95,-1.05,20.0
3,0.8345,ccw,89.5,0.0,90,85.88,-4.12,20.0
3,0.8842,ccw,89.5,-90.0,90,87.15,-2.85,20.0
3,0.8962,cw,88.9375,-180.0,90,91.37,1.37,20.0
3,0.8719,cw,88.9375,-90.0,90,88.35,-1.65,20.0
3,0.8222,cw,44.5,0.0,45,42.31,-2.69,20.0
3,0.8029,cw,44.5,45.0,45,43.93,-1.07,20.0
3,0.784,cw,44.5,90.0,45,42.7,-2.3,20.0
3,0.7429,cw,44.5,135.0,45,43.2,-1.8,20.0
3,0.7338,ccw,44.75,180.0,45,43.41,-1.59,20.0
3,0.7216,ccw,44.75,135.0,45,44.4,-0.6,20.0
3,0.7296,ccw,44.75,90.0,45,43.75,-1.25,20.0
3,0.8531,ccw,44.75,45.0,45,42.54,-2.46,20.0
3,0.8029,ccw,44.75,0.0,45,42.41,-2.59,20.0
3,0.7897,ccw,44.75,-45.0,45,44.31,-0.69,20.0
3,0.8424,ccw,44.75,-90.0,45,43.33,-1.67,20.0
3,0.8623,ccw,44.75,-135.0,45,42.75,-2.25,20.0
3,0.8863,cw,44.5,-180.0,45,43.87,-1.13,20.0
3,0.8865,cw,44.5,-135.0,45,44.82,-0.18,20.0
3,0.8759,cw,44.5,-90.0,45,44.12,-0.88,20.0
3,0.829,cw,44.5,-45.0,45,43.7,-1.3,20.0
3,0.7329,cw,9.875,0.0,10,6.72,-3.28,20.0
3,0.7569,cw,9.875,10.0,10,7.9,-2.1,20.0
3,0.7747,cw,9.875,20.0,10,7.56,-2.44,20.0
3,0.7558,cw,9.875,30.0,10,7.67,-2.33,20.0
3,0.7375,ccw,9.9375,40.0,10,10.63,0.63,20.0
3,0.7606,ccw,9.9375,30.0,10,7.62,-2.38,20.0
3,0.7622,ccw,9.9375,20.0,10,7.59,-2.41,20.0
3,0.7512,ccw,9.9375,10.0,10,7.57,-2.43,20.0
3,0.7359,ccw,9.9375,0.0,10,7.57,-2.43,20.0
3,0.7302,ccw,9.9375,-10.0,10,7.53,-2.47,20.0
3,0.7062,cw,9.875,-20.0,10,10.45,0.45,20.0
3,0.7364,cw,9.875,-10.0,10,7.58,-2.42,20.0
4,0.7495,cw,12.75,0.0,10,8.62,-1.38,20.0
4,0.7387,cw,12.75,10.0,10,8.98,-1.02,20.0
4,0.7395,cw,12.75,20.0,10,8.65,-1.35,20.0
4,0.7529,ccw,12.9375,30.0,10,9.55,-0.45,20.0
4,0.738,ccw,12.9375,20.0,10,8.75,-1.25,20.0
4,0.742,ccw,12.9375,10.0,10,8.67,-1.33,20.0
4,0.7494,ccw,12.9375,0.0,10,8.59,-1.41,20.0
4,0.7651,ccw,12.9375,-10.0,10,8.68,-1.32,20.0
4,0.7473,cw,12.75,-20.0,10,9.46,-0.54,20.0
4,0.7519,cw,12.75,-10.0,10,8.64,-1.36,20.0
4,0.7658,cw,57.4375,90.0,45,42.07,-2.93,20.0
4,0.7246,ccw,58.1875,135.0,45,44.95,-0.05,20.0
4,0.7478,ccw,58.1875,90.0,45,42.4,-2.6,20.0
4,0.7401,ccw,58.1875,45.0,45,42.44,-2.56,20.0
4,0.8354,ccw,58.1875,0.0,45,42.04,-2.96,20.0
4,0.7562,ccw,58.1875,-45.0,45,40.68,-4.32,20.0
4,0.8036,ccw,58.1875,-90.0,45,40.12,-4.88,20.0
4,0.8109,cw,57.4375,-135.0,45,44.14,-0.86,20.0
4,0.7796,cw,57.4375,-90.0,45,43.2,-1.8,20.0
4,0.7938,cw,57.4375,-45.0,45,39.62,-5.38,20.0
4,0.7717,cw,114.875,0.0,90,83.08,-6.92,20.0
4,0.7823,cw,114.875,90.0,90,84.28,-5.72,20.0
4,0.7467,ccw,116.375,180.0,90,87.01,-2.99,20.0
4,0.7486,ccw,116.375,90.0,90,86.18,-3.82,20.0
4,0.7974,ccw,116.375,0.0,90,83.91,-6.09,20.0
4,0.7883,ccw,116.375,-90.0,90,82.85,-7.15,20.0
4,0.8061,cw,114.875,-180.0,90,86.91,-3.09,20.0
4,0.7783,cw,114.875,-90.0,90,86.03,-3.97,20.0
4,0.7649,ccw,116.375,0.0,90,88.06,-1.94,20.0
4,0.7854,cw,114.875,-90.0,90,85.25,-4.75,20.0
4,0.7519,cw,172.375,0.0,135,126.22,-8.78,20.0
4,0.7167,ccw,174.5,135.0,135,131.29,-3.71,20.0
4,0.8295,ccw,174.5,0.0,135,125.31,-9.69,20.0
4,0.8079,ccw,174.5,-135.0,135,127.68,-7.32,20.0
4,0.7696,cw,172.375,-270.0,135,131.59,-3.41,20.0
4,0.7992,cw,172.375,-135.0,135,127.79,-7.21,20.0
4,0.7444,cw,172.375,0.0,135,125.69,-9.31,20.0
4,0.7039,ccw,174.5,135.0,135,131.56,-3.44,20.0
4,0.832,ccw,174.5,0.0,135,129.02,-5.98,20.0
4,0.785,cw,172.375,-135.0,135,131.29,-3.71,20.0
