diameter,direction,tilt,steps,stepper_travel,measured_angle,predicted_angle,error
4,cw,0,172.375,4.378325,131.06,,
4,cw,0,172.375,4.378325,130.62,,
4,cw,0,172.375,4.378325,130.11,,
4,cw,0,172.375,4.378325,130.02,,
5,ccw,0,16.375,0.415925,10.22,,
5,ccw,0,16.375,0.415925,9.74,,
5,ccw,0,16.375,0.415925,9.45,,
5,ccw,0,16.375,0.415925,9.02,,
5,ccw,0,16.375,0.415925,8.84,,
5,ccw,0,73.75,1.87325,44.46,,
5,ccw,0,73.75,1.87325,43.53,,
5,ccw,0,73.75,1.87325,43.31,,
5,ccw,0,73.75,1.87325,43.24,,
5,ccw,0,73.75,1.87325,42.93,,
5,ccw,0,147.5,3.7465,89.11,,
5,ccw,0,147.5,3.7465,89.04,,
5,ccw,0,147.5,3.7465,88.55,,
5,ccw,0,147.5,3.7465,87.56,,
5,ccw,0,147.5,3.7465,87.54,,
5,ccw,0,221.25,5.61975,131.87,,
5,ccw,0,221.25,5.61975,131.81,,
5,ccw,0,221.25,5.61975,131.54,,
5,ccw,0,221.25,5.61975,131.19,,
5,ccw,0,221.25,5.61975,131.13,,
5,cw,0,16.4375,0.4175125,10.1,,
5,cw,0,16.4375,0.4175125,10.03,,
5,cw,0,16.4375,0.4175125,9.84,,
5,cw,0,16.4375,0.4175125,8.79,,
5,cw,0,16.4375,0.4175125,8.79,,
5,cw,0,73.9375,1.8780125,44.8,,
5,cw,0,73.9375,1.8780125,43.91,,
5,cw,0,73.9375,1.8780125,43.73,,
5,cw,0,73.9375,1.8780125,43.04,,
5,cw,0,73.9375,1.8780125,42.75,,
5,cw,0,147.875,3.756025,89.69,,
5,cw,0,147.875,3.756025,88.92,,
5,cw,0,147.875,3.756025,88.08,,
5,cw,0,147.875,3.756025,87.32,,
5,cw,0,147.875,3.756025,87.09,,
5,cw,0,221.875,5.635625,134.45,,
5,cw,0,221.875,5.635625,133.58,,
5,cw,0,221.875,5.635625,133.51,,
5,cw,0,221.875,5.635625,132.28,,
5,cw,0,221.875,5.635625,132.26,,
2,ccw,10,6.5625,0.1666875,10.22,,
2,ccw,10,6.5625,0.1666875,9.64,,
2,ccw,10,6.5625,0.1666875,7.06,,
2,ccw,10,6.5625,0.1666875,6.99,,
2,ccw,10,6.5625,0.1666875,6.16,,
2,ccw,10,29.375,0.746125,43.73,,
2,ccw,10,29.375,0.746125,43.57,,
2,ccw,10,29.375,0.746125,41.48,,
2,ccw,10,29.375,0.746125,41.1,,
2,ccw,10,29.375,0.746125,40,,
2,ccw,10,58.8125,1.4938375,92.04,,
2,ccw,10,58.8125,1.4938375,91.55,,
2,ccw,10,58.8125,1.4938375,89.45,,
2,ccw,10,58.8125,1.4938375,84.53,,
2,ccw,10,88.1875,2.2399625,133.86,,
2,ccw,10,88.1875,2.2399625,132.77,,
2,ccw,10,88.1875,2.2399625,132.09,,
2,ccw,10,88.1875,2.2399625,131.41,,
2,ccw,10,88.1875,2.2399625,131.34,,
2,cw,10,6.5,0.1651,9.5,,
2,cw,10,6.5,0.1651,8.5,,
2,cw,10,6.5,0.1651,8.45,,
2,cw,10,6.5,0.1651,8.25,,
2,cw,10,6.5,0.1651,6.84,,
2,cw,10,29.3125,0.7445375,42.53,,
2,cw,10,29.3125,0.7445375,42.11,,
2,cw,10,29.3125,0.7445375,41.9,,
2,cw,10,29.3125,0.7445375,41.78,,
2,cw,10,29.3125,0.7445375,40.23,,
2,cw,10,58.6875,1.4906625,90.64,,
2,cw,10,58.6875,1.4906625,90.26,,
2,cw,10,58.6875,1.4906625,89.31,,
2,cw,10,58.6875,1.4906625,89.11,,
2,cw,10,58.6875,1.4906625,87.68,,
2,cw,10,58.6875,1.4906625,84.06,,
2,cw,10,88,2.2352,134.12,,
2,cw,10,88,2.2352,134.09,,
2,cw,10,88,2.2352,133.1,,
2,cw,10,88,2.2352,132.32,,
2,cw,10,88,2.2352,132.15,,
3,ccw,10,9.9375,0.2524125,10.63,,
3,ccw,10,9.9375,0.2524125,7.65,,
3,ccw,10,9.9375,0.2524125,7.65,,
3,ccw,10,9.9375,0.2524125,7.62,,
3,ccw,10,9.9375,0.2524125,7.62,,
3,ccw,10,44.75,1.13665,45.25,,
3,ccw,10,44.75,1.13665,44.62,,
3,ccw,10,44.75,1.13665,44.46,,
3,ccw,10,44.75,1.13665,43.96,,
3,ccw,10,44.75,1.13665,43.9,,
3,ccw,10,89.5,2.2733,91.87,,
