diameter,direction,tilt,tilt_component,steps,stepper_travel,measured_angle,a/s,c_rod,avg_offset,ideal_rnp,k,k_avg,predicted_angle,error
2,cw,10,0.984807753,88,2.2352,134.12,1.506,-2.118,-1.216,2.866406656,0.525396491,0.544,136.0046194,1.884619449
2,cw,10,0.984807753,88,2.2352,134.09,1.506,-2.118,-1.216,2.866406656,0.525396491,0.544,136.0046194,1.914619449
2,cw,10,0.984807753,88,2.2352,133.1,1.506,-2.118,-1.216,2.866406656,0.525396491,0.544,136.0046194,2.904619449
2,cw,10,0.984807753,88,2.2352,132.32,1.506,-2.118,-1.216,2.866406656,0.525396491,0.544,136.0046194,3.684619449
2,cw,10,0.984807753,88,2.2352,132.15,1.506,-2.118,-1.216,2.866406656,0.525396491,0.544,136.0046194,3.854619449
2,ccw,20,0.939692621,6.5625,0.1666875,12.69,1.506,-2.118,-1.216,2.735093397,0.550621051,0.544,8.548283429,-4.141716571
2,ccw,20,0.939692621,6.5625,0.1666875,6.76,1.506,-2.118,-1.216,2.735093397,0.550621051,0.544,8.548283429,1.788283429
2,ccw,20,0.939692621,29.375,0.746125,42.42,1.506,-2.118,-1.216,2.735093397,0.550621051,0.544,42.49079249,0.070792492
2,ccw,20,0.939692621,29.375,0.746125,41.28,1.506,-2.118,-1.216,2.735093397,0.550621051,0.544,42.49079249,1.210792492
2,ccw,20,0.939692621,58.8125,1.4938375,94.34,1.506,-2.118,-1.216,2.735093397,0.550621051,0.544,86.29057816,-8.04942184
2,ccw,20,0.939692621,58.8125,1.4938375,86.56,1.506,-2.118,-1.216,2.735093397,0.550621051,0.544,86.29057816,-0.26942184
2,ccw,20,0.939692621,58.8125,1.4938375,86.39,1.506,-2.118,-1.216,2.735093397,0.550621051,0.544,86.29057816,-0.09942184
2,ccw,20,0.939692621,58.8125,1.4938375,84.59,1.506,-2.118,-1.216,2.735093397,0.550621051,0.544,86.29057816,1.70057816
2,ccw,20,0.939692621,58.8125,1.4938375,84.43,1.506,-2.118,-1.216,2.735093397,0.550621051,0.544,86.29057816,1.86057816
2,ccw,20,0.939692621,88.1875,2.2399625,131.64,1.506,-2.118,-1.216,2.735093397,0.550621051,0.544,129.9973707,-1.642629348
2,ccw,20,0.939692621,88.1875,2.2399625,131.06,1.506,-2.118,-1.216,2.735093397,0.550621051,0.544,129.9973707,-1.062629348
2,ccw,20,0.939692621,88.1875,2.2399625,130.57,1.506,-2.118,-1.216,2.735093397,0.550621051,0.544,129.9973707,-0.572629348
2,ccw,20,0.939692621,88.1875,2.2399625,130.5,1.506,-2.118,-1.216,2.735093397,0.550621051,0.544,129.9973707,-0.502629348
2,ccw,20,0.939692621,88.1875,2.2399625,127.41,1.506,-2.118,-1.216,2.735093397,0.550621051,0.544,129.9973707,2.587370652
2,cw,20,0.939692621,6.5,0.1651,8.34,1.506,-2.118,-1.216,2.735093397,0.550621051,0.544,8.455290254,0.115290254
2,cw,20,0.939692621,6.5,0.1651,8.28,1.506,-2.118,-1.216,2.735093397,0.550621051,0.544,8.455290254,0.175290254
2,cw,20,0.939692621,6.5,0.1651,8.21,1.506,-2.118,-1.216,2.735093397,0.550621051,0.544,8.455290254,0.245290254
2,cw,20,0.939692621,6.5,0.1651,8.1,1.506,-2.118,-1.216,2.735093397,0.550621051,0.544,8.455290254,0.355290254
2,cw,20,0.939692621,6.5,0.1651,7.55,1.506,-2.118,-1.216,2.735093397,0.550621051,0.544,8.455290254,0.905290254
2,cw,20,0.939692621,6.5,0.1651,7.12,1.506,-2.118,-1.216,2.735093397,0.550621051,0.544,8.455290254,1.335290254
2,cw,20,0.939692621,29.3125,0.7445375,42.51,1.506,-2.118,-1.216,2.735093397,0.550621051,0.544,42.39779932,-0.112200683
2,cw,20,0.939692621,29.3125,0.7445375,42.25,1.506,-2.118,-1.216,2.735093397,0.550621051,0.544,42.39779932,0.147799317
2,cw,20,0.939692621,29.3125,0.7445375,42.06,1.506,-2.118,-1.216,2.735093397,0.550621051,0.544,42.39779932,0.337799317
2,cw,20,0.939692621,29.3125,0.7445375,40.83,1.506,-2.118,-1.216,2.735093397,0.550621051,0.544,42.39779932,1.567799317
2,cw,20,0.939692621,29.3125,0.7445375,40.63,1.506,-2.118,-1.216,2.735093397,0.550621051,0.544,42.39779932,1.767799317
2,cw,20,0.939692621,29.3125,0.7445375,40.48,1.506,-2.118,-1.216,2.735093397,0.550621051,0.544,42.39779932,1.917799317
2,cw,20,0.939692621,29.3125,0.7445375,40.09,1.506,-2.118,-1.216,2.735093397,0.550621051,0.544,42.39779932,2.307799317
2,cw,20,0.939692621,58.6875,1.4906625,88.68,1.506,-2.118,-1.216,2.735093397,0.550621051,0.544,86.10459181,-2.575408191
2,cw,20,0.939692621,58.6875,1.4906625,88.64,1.506,-2.118,-1.216,2.735093397,0.550621051,0.544,86.10459181,-2.535408191
2,cw,20,0.939692621,58.6875,1.4906625,87.67,1.506,-2.118,-1.216,2.735093397,0.550621051,0.544,86.10459181,-1.565408191
2,cw,20,0.939692621,58.6875,1.4906625,87.23,1.506,-2.118,-1.216,2.735093397,0.550621051,0.544,86.10459181,-1.125408191
2,cw,20,0.939692621,58.6875,1.4906625,85.97,1.506,-2.118,-1.216,2.735093397,0.550621051,0.544,86.10459181,0.134591809
2,cw,20,0.939692621,58.6875,1.4906625,84.64,1.506,-2.118,-1.216,2.735093397,0.550621051,0.544,86.10459181,1.464591809
2,cw,20,0.939692621,58.6875,1.4906625,84.33,1.506,-2.118,-1.216,2.735093397,0.550621051,0.544,86.10459181,1.774591809
2,cw,20,0.939692621,58.6875,1.4906625,84,1.506,-2.118,-1.216,2.735093397,0.550621051,0.544,86.10459181,2.104591809
2,cw,20,0.939692621,58.6875,1.4906625,83.99,1.506,-2.118,-1.216,2.735093397,0.550621051,0.544,86.10459181,2.114591809
2,cw,20,0.939692621,88,2.2352,131.15,1.506,-2.118,-1.216,2.735093397,0.550621051,0.544,129.7183911,-1.431608875
2,cw,20,0.939692621,88,2.2352,131.11,1.506,-2.118,-1.216,2.735093397,0.550621051,0.544,129.7183911,-1.391608875
2,cw,20,0.939692621,88,2.2352,131.1,1.506,-2.118,-1.216,2.735093397,0.550621051,0.544,129.7183911,-1.381608875
2,cw,20,0.939692621,88,2.2352,129.78,1.506,-2.118,-1.216,2.735093397,0.550621051,0.544,129.7183911,-0.061608875
2,cw,20,0.939692621,88,2.2352,125.66,1.506,-2.118,-1.216,2.735093397,0.550621051,0.544,129.7183911,4.058391125
2,ccw,30,0.866025404,6.5625,0.1666875,12.3,1.506,-2.118,-1.216,2.52067571,0.597458846,0.544,7.782812284,-4.517187716
2,ccw,30,0.866025404,6.5625,0.1666875,7.58,1.506,-2.118,-1.216,2.52067571,0.597458846,0.544,7.782812284,0.202812284
2,ccw,30,0.866025404,29.375,0.746125,51.98,1.506,-2.118,-1.216,2.52067571,0.597458846,0.544,39.06439784,-12.91560216
2,ccw,30,0.866025404,29.375,0.746125,49.93,1.506,-2.118,-1.216,2.52067571,0.597458846,0.544,39.06439784,-10.86560216
2,ccw,30,0.866025404,29.375,0.746125,36.21,1.506,-2.118,-1.216,2.52067571,0.597458846,0.544,39.06439784,2.854397844
2,ccw,30,0.866025404,58.8125,1.4938375,98.85,1.506,-2.118,-1.216,2.52067571,0.597458846,0.544,79.43049866,-19.41950134
2,ccw,30,0.866025404,58.8125,1.4938375,95.47,1.506,-2.118,-1.216,2.52067571,0.597458846,0.544,79.43049866,-16.03950134
2,ccw,30,0.866025404,58.8125,1.4938375,84.41,1.506,-2.118,-1.216,2.52067571,0.597458846,0.544,79.43049866,-4.979501338
2,ccw,30,0.866025404,58.8125,1.4938375,83.2,1.506,-2.118,-1.216,2.52067571,0.597458846,0.544,79.43049866,-3.769501338
2,ccw,30,0.866025404,58.8125,1.4938375,82.6,1.506,-2.118,-1.216,2.52067571,0.597458846,0.544,79.43049866,-3.169501338
2,ccw,30,0.866025404,58.8125,1.4938375,82.19,1.506,-2.118,-1.216,2.52067571,0.597458846,0.544,79.43049866,-2.759501338
2,ccw,30,0.866025404,58.8125,1.4938375,81.08,1.506,-2.118,-1.216,2.52067571,0.597458846,0.544,79.43049866,-1.649501338
2,ccw,30,0.866025404,58.8125,1.4938375,80.09,1.506,-2.118,-1.216,2.52067571,0.597458846,0.544,79.43049866,-0.659501338
2,ccw,30,0.866025404,88.1875,2.2399625,126.55,1.506,-2.118,-1.216,2.52067571,0.597458846,0.544,119.7108965,-6.839103495
2,ccw,30,0.866025404,88.1875,2.2399625,124.1,1.506,-2.118,-1.216,2.52067571,0.597458846,0.544,119.7108965,-4.389103495
2,cw,30,0.866025404,6.5,0.1651,9.25,1.506,-2.118,-1.216,2.52067571,0.597458846,0.544,7.69710931,-1.55289069
2,cw,30,0.866025404,6.5,0.1651,9.06,1.506,-2.118,-1.216,2.52067571,0.597458846,0.544,7.69710931,-1.36289069
2,cw,30,0.866025404,6.5,0.1651,7.81,1.506,-2.118,-1.216,2.52067571,0.597458846,0.544,7.69710931,-0.11289069
2,cw,30,0.866025404,6.5,0.1651,7.79,1.506,-2.118,-1.216,2.52067571,0.597458846,0.544,7.69710931,-0.09289069
2,cw,30,0.866025404,6.5,0.1651,7.76,1.506,-2.118,-1.216,2.52067571,0.597458846,0.544,7.69710931,-0.06289069
2,cw,30,0.866025404,6.5,0.1651,7.7,1.506,-2.118,-1.216,2.52067571,0.597458846,0.544,7.69710931,-0.00289069
2,cw,30,0.866025404,6.5,0.1651,7.64,1.506,-2.118,-1.216,2.52067571,0.597458846,0.544,7.69710931,0.05710931
2,cw,30,0.866025404,6.5,0.1651,7.64,1.506,-2.118,-1.216,2.52067571,0.597458846,0.544,7.69710931,0.05710931
2,cw,30,0.866025404,6.5,0.1651,7.57,1.506,-2.118,-1.216,2.52067571,0.597458846,0.544,7.69710931,0.12710931
2,cw,30,0.866025404,6.5,0.1651,7.53,1.506,-2.118,-1.216,2.52067571,0.597458846,0.544,7.69710931,0.16710931
2,cw,30,0.866025404,6.5,0.1651,7.5,1.506,-2.118,-1.216,2.52067571,0.597458846,0.544,7.69710931,0.19710931
2,cw,30,0.866025404,6.5,0.1651,7.06,1.506,-2.118,-1.216,2.52067571,0.597458846,0.544,7.69710931,0.63710931
2,cw,30,0.866025404,6.5,0.1651,6.77,1.506,-2.118,-1.216,2.52067571,0.597458846,0.544,7.69710931,0.92710931
2,cw,30,0.866025404,6.5,0.1651,6.56,1.506,-2.118,-1.216,2.52067571,0.597458846,0.544,7.69710931,1.13710931
2,cw,30,0.866025404,29.3125,0.7445375,41.17,1.506,-2.118,-1.216,2.52067571,0.597458846,0.544,38.97869487,-2.19130513
2,cw,30,0.866025404,29.3125,0.7445375,40.79,1.506,-2.118,-1.216,2.52067571,0.597458846,0.544,38.97869487,-1.81130513
2,cw,30,0.866025404,29.3125,0.7445375,40.63,1.506,-2.118,-1.216,2.52067571,0.597458846,0.544,38.97869487,-1.65130513
2,cw,30,0.866025404,29.3125,0.7445375,39.92,1.506,-2.118,-1.216,2.52067571,0.597458846,0.544,38.97869487,-0.94130513
2,cw,30,0.866025404,29.3125,0.7445375,39.83,1.506,-2.118,-1.216,2.52067571,0.597458846,0.544,38.97869487,-0.85130513
2,cw,30,0.866025404,29.3125,0.7445375,39.47,1.506,-2.118,-1.216,2.52067571,0.597458846,0.544,38.97869487,-0.49130513
2,cw,30,0.866025404,29.3125,0.7445375,39.22,1.506,-2.118,-1.216,2.52067571,0.597458846,0.544,38.97869487,-0.24130513
2,cw,30,0.866025404,29.3125,0.7445375,38.68,1.506,-2.118,-1.216,2.52067571,0.597458846,0.544,38.97869487,0.29869487
2,cw,30,0.866025404,29.3125,0.7445375,38.64,1.506,-2.118,-1.216,2.52067571,0.597458846,0.544,38.97869487,0.33869487
2,cw,30,0.866025404,29.3125,0.7445375,38.06,1.506,-2.118,-1.216,2.52067571,0.597458846,0.544,38.97869487,0.91869487
2,cw,30,0.866025404,29.3125,0.7445375,37.61,1.506,-2.118,-1.216,2.52067571,0.597458846,0.544,38.97869487,1.36869487
2,cw,30,0.866025404,29.3125,0.7445375,37.44,1.506,-2.118,-1.216,2.52067571,0.597458846,0.544,38.97869487,1.53869487
2,cw,30,0.866025404,29.3125,0.7445375,36.95,1.506,-2.118,-1.216,2.52067571,0.597458846,0.544,38.97869487,2.02869487
2,cw,30,0.866025404,29.3125,0.7445375,36.78,1.506,-2.118,-1.216,2.52067571,0.597458846,0.544,38.97869487,2.19869487
2,cw,30,0.866025404,58.6875,1.4906625,85.11,1.506,-2.118,-1.216,2.52067571,0.597458846,0.544,79.25909271,-5.850907287
2,cw,30,0.866025404,58.6875,1.4906625,84.87,1.506,-2.118,-1.216,2.52067571,0.597458846,0.544,79.25909271,-5.610907287
2,cw,30,0.866025404,58.6875,1.4906625,84.08,1.506,-2.118,-1.216,2.52067571,0.597458846,0.544,79.25909271,-4.820907287
2,cw,30,0.866025404,58.6875,1.4906625,84.02,1.506,-2.118,-1.216,2.52067571,0.597458846,0.544,79.25909271,-4.760907287
2,cw,30,0.866025404,58.6875,1.4906625,83.76,1.506,-2.118,-1.216,2.52067571,0.597458846,0.544,79.25909271,-4.500907287
2,cw,30,0.866025404,58.6875,1.4906625,83.65,1.506,-2.118,-1.216,2.52067571,0.597458846,0.544,79.25909271,-4.390907287
2,cw,30,0.866025404,58.6875,1.4906625,82.9,1.506,-2.118,-1.216,2.52067571,0.597458846,0.544,79.25909271,-3.640907287
2,cw,30,0.866025404,58.6875,1.4906625,82.85,1.506,-2.118,-1.216,2.52067571,0.597458846,0.544,79.25909271,-3.590907287
2,cw,30,0.866025404,58.6875,1.4906625,82.72,1.506,-2.118,-1.216,2.52067571,0.597458846,0.544,79.25909271,-3.460907287
2,cw,30,0.866025404,58.6875,1.4906625,82.27,1.506,-2.118,-1.216,2.52067571,0.597458846,0.544,79.25909271,-3.010907287
2,cw,30,0.866025404,58.6875,1.4906625,81.56,1.506,-2.118,-1.216,2.52067571,0.597458846,0.544,79.25909271,-2.300907287
2,cw,30,0.866025404,58.6875,1.4906625,81.52,1.506,-2.118,-1.216,2.52067571,0.597458846,0.544,79.25909271,-2.260907287
2,cw,30,0.866025404,58.6875,1.4906625,81.05,1.506,-2.118,-1.216,2.52067571,0.597458846,0.544,79.25909271,-1.790907287
2,cw,30,0.866025404,58.6875,1.4906625,80.35,1.506,-2.118,-1.216,2.52067571,0.597458846,0.544,79.25909271,-1.090907287
2,cw,30,0.866025404,88,2.2352,126.6,1.506,-2.118,-1.216,2.52067571,0.597458846,0.544,119.4537876,-7.146212417
2,cw,30,0.866025404,88,2.2352,125.1,1.506,-2.118,-1.216,2.52067571,0.597458846,0.544,119.4537876,-5.646212417
2,cw,30,0.866025404,88,2.2352,124.23,1.506,-2.118,-1.216,2.52067571,0.597458846,0.544,119.4537876,-4.776212417
